Document ID,Status,Source Text,Summary,Detected Language,Detected Language Score,Document Sentiment,Document Sentiment +/-
"Apr. 10, 2013 at 4:26 p.m. ET",PROCESSED,New highs in S&P 500 are very bullish,New highs in S&P 500 are very bullish... ,English,0.15113266,0,neutral
"Apr. 10, 2014 at 1:47 p.m. ET",PROCESSED,"Tesla shares lose nearly 5%, off 22% from high","Tesla shares lose nearly 5%, off 22% from high... ",English,0.41079503,-0.449999988,negative
"Apr. 10, 2014 at 11:48 a.m. ET",PROCESSED,"Icahn, in a rare loss, gives up eBay-PayPal fight","Icahn, in a rare loss, gives up eBay-PayPal fight... ",English,0.09764901,-0.5,negative
"Apr. 10, 2014 at 4:36 p.m. ET",PROCESSED,"TripAdvisor, Tesla sink as momentum plays lose favor","TripAdvisor, Tesla sink as momentum plays lose favor... ",English,0.15980484,0.467826009,positive
"Apr. 10, 2014 at 5:00 a.m. ET",PROCESSED,3 reasons not to care about 'Flash Boys',3 reasons not to care about 'Flash Boys'... ,English,0.25720778,0,neutral
"Apr. 10, 2014 at 6:15 a.m. ET",PROCESSED,Don’t let these stock market gyrations scare you,Don’t let these stock market gyrations scare you... ,English,0.35862857,-0.600000024,negative
"Apr. 10, 2015 at 11:15 a.m. ET",PROCESSED,"Nasdaq breaks out, S&P edges atop resistance","Nasdaq breaks out, S&P edges atop resistance... ",Danish,0.278686,-0.768000007,negative
"Apr. 10, 2015 at 5:42 p.m. ET",PROCESSED,This is Tesla’s most popular car color,This is Tesla’s most popular car color... ,English,0.20085406,0.900000036,positive
"Apr. 10, 2015 at 6:00 a.m. ET",PROCESSED,Wall Street’s morality movement is a bit unnerving,Wall Street’s morality movement is a bit unnerving... ,English,0.101369165,-0.051499993,negative
"Apr. 10, 2017 at 10:26 a.m. ET",PROCESSED,Tesla's market cap briefly tops GM after intraday record for the company's shares,Tesla's market cap briefly tops GM after intraday record for the company's shares... ,English,0.19086854,0.155520022,neutral
"Apr. 10, 2017 at 12:03 p.m. ET",PROCESSED,"S&P 500, Dow nail the trendline, pull in from resistance","S&P 500, Dow nail the trendline, pull in from resistance... ",English,0.1307445,-0.600000024,negative
"Apr. 10, 2017 at 12:37 p.m. ET",PROCESSED,"Tesla briefly becomes No. 1 U.S. car maker, overtaking GM","Tesla briefly becomes No... 1 U.S. car maker, overtaking GM... ",English,0.1275142,0,neutral
"Apr. 10, 2017 at 2:12 p.m. ET",PROCESSED,Ask Arora: Can China hurt the U.S. with the $1 trillion-plus in Treasury bonds it holds?,Ask Arora: Can China hurt the U.S. with the $1 trillion-plus in Treasury bonds it holds?... ,English,0.14821263,0,neutral
"Apr. 10, 2017 at 5:17 p.m. ET",PROCESSED,"Tesla Analyst Drives the Car, Upgrades Stock","Tesla Analyst Drives the Car, Upgrades Stock... ",English,0.17784213,0.600000024,positive
"Apr. 10, 2017 at 9:33 a.m. ET",PROCESSED,Telsa shares surge to new record as Piper Jaffray upgrades to buy,Telsa shares surge to new record as Piper Jaffray upgrades to buy... ,English,0.14988221,0.600000024,positive
"Apr. 10, 2017 at 9:39 a.m. ET",PROCESSED,"Tesla surges to fresh record after Piper Jaffray upgrades to buy, raises price target by 65%","Tesla surges to fresh record after Piper Jaffray upgrades to buy, raises price target by 65%... ",English,0.16175139,0.600000024,positive
"Apr. 10, 2018 at 11:09 a.m. ET",PROCESSED,BP unit agrees to buy and install Tesla battery for U.S. wind farm,BP unit agrees to buy and install Tesla battery for U.S. wind farm... ,English,0.137581,0.45068118,positive
"Apr. 10, 2018 at 11:46 a.m. ET",PROCESSED,"Tesla will have to tap markets this year, Goldman Sachs says","Tesla will have to tap markets this year, Goldman Sachs says... ",English,0.2702463,0,neutral
"Apr. 10, 2018 at 12:03 p.m. ET",PROCESSED,"Be careful, a necessary ‘cleansing’ in the stock market is still under way","Be careful, a necessary ‘cleansing’ in the stock market is still under way... ",English,0.120740145,0.445100009,positive
"Apr. 10, 2018 at 12:44 p.m. ET",PROCESSED,"Charting a corrective bounce, U.S. benchmarks spike amid bearish second-quarter start","Charting a corrective bounce, U.S. benchmarks spike amid bearish second-quarter start... ",English,0.0972137,0.01915741,neutral
"Apr. 10, 2018 at 2:56 p.m. ET",PROCESSED,Volkswagen's potential CEO change won't affect CFO,Volkswagen's potential CEO change won't affect CFO... ,English,0.21712308,0,neutral
"Apr. 10, 2019 at 10:25 a.m. ET",PROCESSED,Tesla Stock Gets a Boost Because Electric Car Tax Credits Could Be Extended,Tesla Stock Gets a Boost Because Electric Car Tax Credits Could Be Extended... ,English,0.120604336,0,neutral
"Apr. 10, 2019 at 11:22 a.m. ET",PROCESSED,"Charting a garden-variety pullback, S&P 500 nails first support (2,873)","Charting a garden-variety pullback, S&P 500 nails first support (2,873)... ",English,0.09755733,0,neutral
"Apr. 10, 2019 at 11:51 a.m. ET",PROCESSED,Dow Takes a Boeing Hit as Markets Send Mixed Messages,Dow Takes a Boeing Hit as Markets Send Mixed Messages... ,English,0.098741844,0,neutral
"Apr. 10, 2019 at 4:46 p.m. ET",PROCESSED,"Move over, Ferrari and Lamborghini — this Italian electric car’s 1,900 horsepower makes it faster than a Formula 1 racer","Move over, Ferrari and Lamborghini — this Italian electric car’s 1,900 horsepower makes it faster than a Formula 1 racer... ",English,0.13462023,0.300000012,positive
"Apr. 10, 2019 at 5:00 a.m. ET",PROCESSED,Tesla and 12 Other Stocks Wall Street Hates but Maybe You Shouldn’t,Tesla and 12 Other Stocks Wall Street Hates but Maybe You Shouldn’t... ,English,0.23895705,0,neutral
"Apr. 10, 2019 at 6:58 a.m. ET",PROCESSED,"Tesla is like Apple and Salesforce, but don’t buy the stock right now, analyst says","Tesla is like Apple and Salesforce, but don’t buy the stock right now, analyst says... ",English,0.18443811,0,neutral
"Apr. 10, 2019 at 8:18 a.m. ET",PROCESSED,"Delta’s Profit Beats Estimates as Earnings Season Starts, and More on Stocks for Wednesday","Delta’s Profit Beats Estimates as Earnings Season Starts, and More on Stocks for Wednesday... ",English,0.14596276,0.52352345,positive
"Apr. 10, 2019 at 9:34 a.m. ET",PROCESSED,"Stick with tech stocks or miss some big gains, says this analyst","Stick with tech stocks or miss some big gains, says this analyst... ",English,0.39769736,0.4911111,positive
"Apr. 11, 2012 at 3:45 a.m. ET",PROCESSED,Cash to flow into beleaguered gold miners?,Cash to flow into beleaguered gold miners?... ,English,0.15043257,0,neutral
"Apr. 11, 2013 at 9:01 a.m. ET",PROCESSED,Where will you be when the party's over?,Where will you be when the party's over?... ,English,0.22956848,0,neutral
"Apr. 11, 2014 at 12:37 p.m. ET",PROCESSED,S&P 500 violates major technical support,S&P 500 violates major technical support... ,English,0.19434835,-0.180000007,negative
"Apr. 11, 2014 at 4:36 p.m. ET",PROCESSED,Herbalife sinks on probe fears; Zoe’s surges on debut,Herbalife sinks on probe fears; Zoe’s surges on debut... ,Romanian,0.12683316,-0.49000001,negative
"Apr. 11, 2014 at 9:33 a.m. ET",PROCESSED,"Momentum stocks Tesla, Facebook extend retreat","Momentum stocks Tesla, Facebook extend retreat... ",English,0.35673288,-0.550000012,negative
"Apr. 11, 2016 at 1:04 p.m. ET",PROCESSED,"Tesla to recall 2,700 Model X: CNBC","Tesla to recall 2,700 Model X: CNBC... ",Romanian,0.13377327,0,neutral
"Apr. 11, 2016 at 1:07 p.m. ET",PROCESSED,Tesla to replace Model X back seats,Tesla to replace Model X back seats... ,Danish,0.14501548,0,neutral
"Apr. 11, 2016 at 1:20 p.m. ET",PROCESSED,Tesla to recall Model X due to faulty back-row seats,Tesla to recall Model X due to faulty back-row seats... ,English,0.15026774,-0.49000001,negative
"Apr. 11, 2016 at 1:54 p.m. ET",PROCESSED,"Tesla recalls 2,700 Model X SUVs because of faulty hinge","Tesla recalls 2,700 Model X SUVs because of faulty hinge... ",English,0.16439542,-0.49000001,negative
"Apr. 11, 2016 at 11:04 a.m. ET",PROCESSED,"S&P, Dow nail technical support, draw buyers","S&P, Dow nail technical support, draw buyers... ",English,0.19198659,0.360000014,positive
"Apr. 11, 2016 at 9:19 a.m. ET",PROCESSED,Here comes what could be the ugliest earnings season since 2009,Here comes what could be the ugliest earnings season since 2009... ,English,0.23870574,-0.800000012,negative
"Apr. 11, 2017 at 12:16 p.m. ET",PROCESSED,"Charting a precarious technical backdrop, S&P 500 ventures under major support","Charting a precarious technical backdrop, S&P 500 ventures under major support... ",English,0.09825865,-0.720000029,negative
"Apr. 11, 2017 at 12:50 p.m. ET",PROCESSED,"Charting a tenuous technical backdrop, S&P 500 ventures under major support","Charting a tenuous technical backdrop, S&P 500 ventures under major support... ",English,0.09825865,-0.480000019,negative
"Apr. 11, 2017 at 4:58 p.m. ET",PROCESSED,AutoNation CEO scoffs at Tesla’s ‘inexplicable’ market value,AutoNation CEO scoffs at Tesla’s ‘inexplicable’ market value... ,English,0.21380474,-0.5,negative
"Apr. 11, 2018 at 11:59 a.m. ET",PROCESSED,"Charting major technical tests, S&P 500 reaches trendline resistance","Charting major technical tests, S&P 500 reaches trendline resistance... ",English,0.1859745,-0.600000024,negative
"Apr. 11, 2018 at 2:47 p.m. ET",PROCESSED,"Mark Zuckerberg is a ‘hero,’ and D.C. needs to be more careful, says venture capitalist","Mark Zuckerberg is a ‘hero,’ and D.C. needs to be more careful, says venture capitalist... ",English,0.11700589,0.5,positive
"Apr. 11, 2018 at 8:58 a.m. ET",PROCESSED,"Tesla stock is due for a 36% slide, says Goldman Sachs","Tesla stock is due for a 36% slide, says Goldman Sachs... ",English,0.110545695,0,neutral
"Apr. 11, 2019 at 10:03 a.m. ET",PROCESSED,"If you’re searching for higher returns, oil has doubled the gain of stocks","If you’re searching for higher returns, oil has doubled the gain of stocks... ",English,0.15951252,0,neutral
"Apr. 11, 2019 at 11:05 a.m. ET",PROCESSED,"New highs for tech stocks is a bullish sign, according to history","New highs for tech stocks is a bullish sign, according to history... ",English,0.113581784,0,neutral
"Apr. 11, 2019 at 11:26 a.m. ET",PROCESSED,Tesla Stock Is Down Because Panasonic Is Reportedly Nixing Expansion Plans for a Big Battery Factory,Tesla Stock Is Down Because Panasonic Is Reportedly Nixing Expansion Plans for a Big Battery Factory... ,English,0.11749285,0,neutral
"Apr. 11, 2019 at 11:38 a.m. ET",PROCESSED,"Charting a bull flag, S&P 500 digests rally to six-month highs","Charting a bull flag, S&P 500 digests rally to six-month highs... ",English,0.10213388,0.600000024,positive
"Apr. 11, 2019 at 2:53 p.m. ET",PROCESSED,Tesla stock falls after report that Gigafactory expansion is on hold,Tesla stock falls after report that Gigafactory expansion is on hold... ,English,0.21022965,0,neutral
"Apr. 11, 2019 at 4:04 p.m. ET",PROCESSED,Stocks end mostly lower as investors look ahead to earnings,Stocks end mostly lower as investors look ahead to earnings... ,English,0.16490693,0,neutral
"Apr. 11, 2019 at 4:38 p.m. ET",PROCESSED,Stocks close mostly lower as earnings season set to kick off,Stocks close mostly lower as earnings season set to kick off... ,English,0.15756449,0,neutral
"Apr. 11, 2019 at 6:57 a.m. ET",PROCESSED,Tesla shares slump premarket on report that plan to expand Gigafactory is on hold,Tesla shares slump premarket on report that plan to expand Gigafactory is on hold... ,English,0.15631194,-0.49000001,negative
"Apr. 11, 2019 at 8:09 a.m. ET",PROCESSED,"Tesla Stock Falls, Trump Tweets on Trade, and More to Know for Thursday","Tesla Stock Falls, Trump Tweets on Trade, and More to Know for Thursday... ",English,0.14142986,0,neutral
"Apr. 11, 2019 at 8:15 p.m. ET",PROCESSED,SpaceX’s Falcon Heavy launches its first real payload,SpaceX’s Falcon Heavy launches its first real payload... ,English,0.73188156,0,neutral
"Apr. 11, 2019 at 9:45 a.m. ET",PROCESSED,Warren floats new corporate tax | Barr sees benefits of marijuana reform bill,Warren floats new corporate tax | Barr sees benefits of marijuana reform bill... ,English,0.16778323,0.49000001,positive
"Apr. 11, 2020 at 10:53 a.m. ET",PROCESSED,"Greed overtakes fear in the stock market, but don’t be lured into this short-lived rally","Greed overtakes fear in the stock market, but don’t be lured into this short-lived rally... ",English,0.15121266,-0.108333327,negative
"Apr. 12, 2009 at 11:16 a.m. ET",PROCESSED,How to avoid a short squeeze,How to avoid a short squeeze... ,English,0.10361649,0,neutral
"Apr. 12, 2011 at 11:25 a.m. ET",PROCESSED,S&P 500 pulls in to significant technical test,S&P 500 pulls in to significant technical test... ,English,0.10950304,0.540390015,positive
"Apr. 12, 2011 at 11:56 a.m. ET",PROCESSED,S&P 500 drops to major technical test,S&P 500 drops to major technical test... ,Romanian,0.13318591,0,neutral
"Apr. 12, 2016 at 12:00 p.m. ET",PROCESSED,"S&P 500 holds the trendline, preserving a bullish technical bias","S&P 500 holds the trendline, preserving a bullish technical bias... ",English,0.114024125,0,neutral
"Apr. 12, 2016 at 12:21 p.m. ET",PROCESSED,"S&P 500 holds major support, preserving the bull trend","S&P 500 holds major support, preserving the bull trend... ",English,0.16871068,0,neutral
"Apr. 12, 2017 at 11:47 a.m. ET",PROCESSED,"Market bears fire (latest) shot across the bow, S&P 500 challenges the 50-day average","Market bears fire (latest) shot across the bow, S&P 500 challenges the 50-day average... ",English,0.18269882,0,neutral
"Apr. 12, 2017 at 9:24 a.m. ET",PROCESSED,"This blithe market is showing no fear — and that’s a worry, says Doug Kass","This blithe market is showing no fear — and that’s a worry, says Doug Kass... ",English,0.11215145,0.126669243,neutral
"Apr. 12, 2018 at 1:11 p.m. ET",PROCESSED,"Tesla withdraws formal cooperation with probe of fatal crash, will still assist investigators","Tesla withdraws formal cooperation with probe of fatal crash, will still assist investigators... ",English,0.20350488,-0.450487047,negative
"Apr. 12, 2018 at 10:23 a.m. ET",PROCESSED,Don’t panic over Trump’s missile warning (but be concerned he might fire Mueller),Don’t panic over Trump’s missile warning (but be concerned he might fire Mueller)... ,English,0.2840979,-0.620000005,negative
"Apr. 12, 2018 at 11:34 a.m. ET",PROCESSED,Tesla shifts blame to crash victim as family hires lawyers,Tesla shifts blame to crash victim as family hires lawyers... ,English,0.13934913,-0.492808104,negative
"Apr. 12, 2018 at 4:40 a.m. ET",PROCESSED,Tesla puts blame on driver in fatal autonomous car crash,Tesla puts blame on driver in fatal autonomous car crash... ,English,0.10486233,-0.492808104,negative
"Apr. 12, 2018 at 8:56 a.m. ET",PROCESSED,Elon Musk says he’s back to sleeping on the Tesla factory floor,Elon Musk says he’s back to sleeping on the Tesla factory floor... ,English,0.16464542,0,neutral
"Apr. 12, 2019 at 10:40 a.m. ET",PROCESSED,"A stock-market correction is coming, but don’t ‘head for the hills yet’, says BNY Mellon","A stock-market correction is coming, but don’t ‘head for the hills yet’, says BNY Mellon... ",English,0.12710695,0.588000059,positive
"Apr. 12, 2019 at 11:05 a.m. ET",PROCESSED,"Tesla Shakes Up Its Product Line Again, Adding Model 3 Leasing","Tesla Shakes Up Its Product Line Again, Adding Model 3 Leasing... ",English,0.5220574,0,neutral
"Apr. 12, 2019 at 11:38 a.m. ET",PROCESSED,"S&P 500 extends April breakout, Nasdaq approaches 8,000 mark","S&P 500 extends April breakout, Nasdaq approaches 8,000 mark... ",Danish,0.18871799,-0.545000017,negative
"Apr. 12, 2019 at 3:00 a.m. ET",PROCESSED,Tesla will no longer sell cheaper Model 3 online,Tesla will no longer sell cheaper Model 3 online... ,English,0.17382857,0,neutral
"Apr. 12, 2019 at 9:55 a.m. ET",PROCESSED,"U.K. Is Leading Driverless Car Race, Says New Study","U.K. Is Leading Driverless Car Race, Says New Study... ",English,0.17638427,0,neutral
"Apr. 13, 2005 at 7:16 p.m. ET",PROCESSED,In focus: Still not ready to buy,In focus: Still not ready to buy... ,English,0.12284601,0,neutral
"Apr. 13, 2010 at 10:43 a.m. ET",PROCESSED,Slow-motion uptrend meets resistance,Slow-motion uptrend meets resistance... ,English,0.83046025,-0.600000024,negative
"Apr. 13, 2010 at 12:26 p.m. ET",PROCESSED,Slow-motion uptrend meets major resistance,Slow-motion uptrend meets major resistance... ,English,0.70976746,-0.600000024,negative
"Apr. 13, 2015 at 12:15 p.m. ET",PROCESSED,Space X tries tricky rocket landing again,Space X tries tricky rocket landing again... ,English,0.5230016,-0.200000003,negative
"Apr. 13, 2016 at 11:44 a.m. ET",PROCESSED,"U.S. benchmarks knife from major support, strengthening the bull trend","U.S. benchmarks knife from major support, strengthening the bull trend... ",English,0.17846557,0.547200024,positive
"Apr. 13, 2016 at 7:35 p.m. ET",PROCESSED,Faraday breaks ground on electric-car plant,Faraday breaks ground on electric-car plant... ,English,0.14832747,0,neutral
"Apr. 13, 2017 at 1:32 p.m. ET",PROCESSED,"Tesla Model S sells faster as used car — and for more money — than peers do, study finds","Tesla Model S sells faster as used car — and for more money — than peers do, study finds... ",English,0.19614986,0.300000012,positive
"Apr. 13, 2017 at 1:53 p.m. ET",PROCESSED,"Tesla semi truck 'seriously next level,' Musk says in tweet","Tesla semi truck 'seriously next level,' Musk says in tweet... ",English,0.11240831,0,neutral
"Apr. 13, 2017 at 1:53 p.m. ET",PROCESSED,"Tesla to unveil semi truck in September, Elon Musk says","Tesla to unveil semi truck in September, Elon Musk says... ",English,0.10738659,0,neutral
"Apr. 13, 2017 at 11:01 a.m. ET",PROCESSED,Ask Arora: Buying safe-haven investments today is a bad bet,Ask Arora: Buying safe-haven investments today is a bad bet... ,English,0.10556433,-0.600000024,negative
"Apr. 13, 2017 at 11:58 a.m. ET",PROCESSED,Charting the S&P 500’s ‘garden-variety’ violation of the 50-day average,Charting the S&P 500’s ‘garden-variety’ violation of the 50-day average... ,English,0.16654603,-0.720000029,negative
"Apr. 13, 2017 at 2:06 p.m. ET",PROCESSED,"Tesla to unveil freight truck in September, Musk says","Tesla to unveil freight truck in September, Musk says... ",English,0.10739213,0,neutral
"Apr. 13, 2017 at 6:29 p.m. ET",PROCESSED,Tesla: Its Future in Four Tweets,Tesla: Its Future in Four Tweets... ,English,0.12208374,0,neutral
"Apr. 13, 2018 at 9:00 a.m. ET",PROCESSED,"Why T. Rowe Price Likes Alphabet, Amazon, and Facebook","Why T. Rowe Price Likes Alphabet, Amazon, and Facebook... ",English,0.15953825,0,neutral
"Apr. 13, 2018 at 9:43 a.m. ET",PROCESSED,"Tesla: It Might Be Hellish, but It’s Never ‘Boring’","Tesla: It Might Be Hellish, but It’s Never ‘Boring’... ",English,0.29565018,-0.699999988,negative
"Apr. 13, 2019 at 10:37 a.m. ET",PROCESSED,Can ‘nontransparent ETFs’ save active investing?,Can ‘nontransparent ETFs’ save active investing?... ,English,0.39086154,0,neutral
"Apr. 13, 2019 at 7:41 a.m. ET",PROCESSED,Weekend roundup: ‘Deadly sins’ | A dire warning about central-bank policy | These states have benefited most from Trump’s tax cuts,Weekend roundup: ‘Deadly sins’ | A dire warning about central-bank policy | These states have benefited most from Trump’s tax cuts... ,English,0.1384153,-0.272500008,negative
"Apr. 13, 2020 at 10:56 p.m. ET",PROCESSED,Tesla seeks rent reductions to cut costs amid outbreak,Tesla seeks rent reductions to cut costs amid outbreak... ,English,0.14254771,-0.375,negative
"Apr. 13, 2020 at 11:59 a.m. ET",PROCESSED,"S&P 500 tags next resistance (2,817), pulls in after best week since 1974","S&P 500 tags next resistance (2,817), pulls in after best week since 1974... ",English,0.13598125,-0.055000007,negative
"Apr. 13, 2020 at 2:53 p.m. ET",PROCESSED,"Ford is first auto maker to warn of lower sales, but unlikely to be last","Ford is first auto maker to warn of lower sales, but unlikely to be last... ",English,0.15117362,0,neutral
"Apr. 13, 2020 at 3:01 p.m. ET",PROCESSED,Tesla Stock Just Gained Another 14%. Here’s Why.,Tesla Stock Just Gained Another 14%... Here’s Why... ,English,0.49839023,0.549000025,positive
"Apr. 13, 2020 at 4:36 p.m. ET",PROCESSED,U.S. stocks finish mixed in late rally as investors brace for coronavirus-damaged earnings season,U.S. stocks finish mixed in late rally as investors brace for coronavirus-damaged earnings season... ,English,0.11821057,0.055000007,neutral
"Apr. 13, 2020 at 7:08 a.m. ET",PROCESSED,Tesla’s stock is a bullish ‘Triple Play’ at Oppenheimer,Tesla’s stock is a bullish ‘Triple Play’ at Oppenheimer... ,English,0.11912627,0,neutral
"Apr. 13, 2020 at 7:57 a.m. ET",PROCESSED,"Tesla's stock surges 3.7% premarket, after rallying 26% amid 5-day win streak through Thursday","Tesla's stock surges 3.7% premarket, after rallying 26% amid 5-day win streak through Thursday... ",English,0.5438403,0.520775914,positive
"Apr. 14, 2010 at 12:01 a.m. ET",PROCESSED,What to expect from first-quarter earnings,What to expect from first-quarter earnings... ,English,0.20488733,0,neutral
